name: d875b81e-803b-47c6-95d5-4a4bd1dc0a1e
token, class_id, token_value, token_tf, token_df
прогреметь, @default_class, 0.00150943396147, 2.0, 1.0
европейский, @default_class, 0.00150943396147, 2.0, 1.0
утро, @default_class, 0.00150943396147, 2.0, 1.0
отель, @default_class, 0.00150943396147, 2.0, 1.0
апрель, @default_class, 0.00679245265201, 9.0, 4.0
англия, @default_class, 0.002264150884, 3.0, 1.0
год, @default_class, 0.0158490557224, 21.0, 7.0
приходиться, @default_class, 0.00150943396147, 2.0, 1.0
остров, @default_class, 0.00150943396147, 2.0, 1.0
германия, @default_class, 0.00679245265201, 9.0, 2.0
житель, @default_class, 0.00150943396147, 2.0, 1.0
удаваться, @default_class, 0.00150943396147, 2.0, 1.0
оставаться, @default_class, 0.00301886792295, 4.0, 2.0
примерно, @default_class, 0.00150943396147, 2.0, 1.0
сито, @default_class, 0.00150943396147, 2.0, 1.0
вднх, @default_class, 0.002264150884, 3.0, 1.0
искусство, @default_class, 0.00150943396147, 2.0, 1.0
президент, @default_class, 0.00528301903978, 7.0, 2.0
свод, @default_class, 0.002264150884, 3.0, 1.0
человек, @default_class, 0.024905661121, 33.0, 8.0
столичный, @default_class, 0.002264150884, 3.0, 1.0
психический, @default_class, 0.00150943396147, 2.0, 1.0
такой, @default_class, 0.002264150884, 3.0, 1.0
святой, @default_class, 0.00150943396147, 2.0, 1.0
срабатывать, @default_class, 0.00150943396147, 2.0, 1.0
быстро, @default_class, 0.00150943396147, 2.0, 1.0
дева, @default_class, 0.00528301903978, 7.0, 1.0
происходить, @default_class, 0.002264150884, 3.0, 1.0
негус, @default_class, 0.00150943396147, 2.0, 1.0
соглашение, @default_class, 0.002264150884, 3.0, 1.0
церковь, @default_class, 0.00301886792295, 4.0, 1.0
пасха, @default_class, 0.00150943396147, 2.0, 1.0
тушение, @default_class, 0.00528301903978, 7.0, 1.0
каменный, @default_class, 0.00150943396147, 2.0, 1.0
местный, @default_class, 0.00150943396147, 2.0, 1.0
