name: e6f13bb4-cd76-473b-a62a-b49811e25258
token, class_id, token_value, token_tf, token_df
заводить, @default_class, 6.88634099788e-05, 2.0, 1.0
стол, @default_class, 6.88634099788e-05, 2.0, 1.0
cleansing, @default_class, 0.00020659022266, 6.0, 3.0
косметический, @default_class, 0.00182488036808, 53.0, 20.0
отзыв, @default_class, 0.00010329511133, 3.0, 1.0
друг, @default_class, 0.00220362911932, 64.0, 28.0
студия, @default_class, 0.00127397303004, 37.0, 18.0
возможность, @default_class, 0.00010329511133, 3.0, 1.0
себя, @default_class, 0.000172158528585, 5.0, 2.0
тональный, @default_class, 0.000723065808415, 21.0, 9.0
плоский, @default_class, 6.88634099788e-05, 2.0, 1.0
коробка, @default_class, 6.88634099788e-05, 2.0, 1.0
ответ, @default_class, 0.000723065808415, 21.0, 10.0
уоу, @default_class, 6.88634099788e-05, 2.0, 1.0
способ, @default_class, 0.000275453639915, 8.0, 4.0
somewhere, @default_class, 0.000137726819958, 4.0, 2.0
ла, @default_class, 0.000172158528585, 5.0, 1.0
раб, @default_class, 6.88634099788e-05, 2.0, 1.0
семечко, @default_class, 6.88634099788e-05, 2.0, 1.0
конец, @default_class, 0.000137726819958, 4.0, 2.0
реанимировать, @default_class, 0.00020659022266, 6.0, 3.0
интернет, @default_class, 0.000309885333991, 9.0, 3.0
meditopic, @default_class, 0.000826360890642, 24.0, 12.0
любимый, @default_class, 0.0004476121685, 13.0, 6.0
ты, @default_class, 0.00168715347536, 49.0, 24.0
центр, @default_class, 0.000172158528585, 5.0, 2.0
приложение, @default_class, 0.001790448674, 52.0, 26.0
засыхать, @default_class, 0.00020659022266, 6.0, 3.0
сша, @default_class, 6.88634099788e-05, 2.0, 1.0
сделать, @default_class, 0.000826360890642, 24.0, 11.0
продумывать, @default_class, 0.000172158528585, 5.0, 1.0
коллектив, @default_class, 6.88634099788e-05, 2.0, 1.0
галлерея, @default_class, 6.88634099788e-05, 2.0, 1.0
мезотерапия, @default_class, 0.000619770667981, 18.0, 3.0
осознанный, @default_class, 0.00010329511133, 3.0, 1.0
мкад, @default_class, 6.88634099788e-05, 2.0, 1.0
земля, @default_class, 0.000275453639915, 8.0, 4.0
сднемрожденьяанастасияниколаевна, @default_class, 0.00010329511133, 3.0, 1.0
форма, @default_class, 0.00020659022266, 6.0, 3.0
снова, @default_class, 0.000137726819958, 4.0, 1.0
справжньої, @default_class, 6.88634099788e-05, 2.0, 1.0
сидение, @default_class, 0.00010329511133, 3.0, 1.0
срываться, @default_class, 6.88634099788e-05, 2.0, 1.0
глубина, @default_class, 0.00020659022266, 6.0, 3.0
большой, @default_class, 0.000137726819958, 4.0, 2.0
быть, @default_class, 0.00113624625374, 33.0, 14.0
каждый, @default_class, 0.000860792642925, 25.0, 10.0
booster, @default_class, 0.000413180445321, 12.0, 6.0
ура, @default_class, 0.000275453639915, 8.0, 3.0
продлевать, @default_class, 0.00020659022266, 6.0, 3.0
влажность, @default_class, 0.00020659022266, 6.0, 3.0
иностранец, @default_class, 0.000413180445321, 12.0, 1.0
рука, @default_class, 0.00123954133596, 36.0, 10.0
фигаро, @default_class, 6.88634099788e-05, 2.0, 1.0
один, @default_class, 0.00055090727983, 16.0, 7.0
оба, @default_class, 0.000137726819958, 4.0, 2.0
рождение, @default_class, 0.00165272178128, 48.0, 17.0
фотосессия, @default_class, 0.0123954135925, 360.0, 152.0
dermatime, @default_class, 0.00671418244019, 195.0, 93.0
петр, @default_class, 6.88634099788e-05, 2.0, 1.0
novy, @default_class, 6.88634099788e-05, 2.0, 1.0
скоро, @default_class, 0.00020659022266, 6.0, 3.0
лаванда, @default_class, 0.00020659022266, 6.0, 3.0
it, @default_class, 0.000619770667981, 18.0, 3.0
восстанавливать, @default_class, 0.00182488036808, 53.0, 19.0
бахтинец, @default_class, 6.88634099788e-05, 2.0, 1.0
ночной, @default_class, 0.0019281754503, 56.0, 22.0
новый, @default_class, 0.00241021928377, 70.0, 28.0
говорить, @default_class, 0.000585338973906, 17.0, 8.0
oh, @default_class, 0.000585338973906, 17.0, 1.0
день, @default_class, 0.00729952147231, 212.0, 81.0
хороший, @default_class, 0.000964087725151, 28.0, 13.0
na, @default_class, 0.000137726819958, 4.0, 2.0
що, @default_class, 6.88634099788e-05, 2.0, 1.0
год, @default_class, 0.00361532904208, 105.0, 42.0
расти, @default_class, 6.88634099788e-05, 2.0, 1.0
ретиноид, @default_class, 0.000309885333991, 9.0, 3.0
крючок, @default_class, 6.88634099788e-05, 2.0, 1.0
вопрос, @default_class, 0.000378748751245, 11.0, 5.0
скраб, @default_class, 0.00034431705717, 10.0, 4.0
сливочный, @default_class, 6.88634099788e-05, 2.0, 1.0
лимонный, @default_class, 0.00020659022266, 6.0, 3.0
сказать, @default_class, 0.000137726819958, 4.0, 2.0
бой, @default_class, 6.88634099788e-05, 2.0, 1.0
знатный, @default_class, 6.88634099788e-05, 2.0, 1.0
заболевание, @default_class, 0.000585338973906, 17.0, 8.0
фестиваль, @default_class, 0.00020659022266, 6.0, 1.0
сережа, @default_class, 0.000172158528585, 5.0, 2.0
спрей, @default_class, 0.000413180445321, 12.0, 6.0
аравия, @default_class, 0.000137726819958, 4.0, 2.0
исподволь, @default_class, 6.88634099788e-05, 2.0, 1.0
зима, @default_class, 0.000275453639915, 8.0, 2.0
обязательно, @default_class, 0.00034431705717, 10.0, 5.0
ранний, @default_class, 6.88634099788e-05, 2.0, 1.0
первый, @default_class, 0.00068863411434, 20.0, 9.0
прививка, @default_class, 6.88634099788e-05, 2.0, 1.0
плод, @default_class, 0.00020659022266, 6.0, 3.0
technology, @default_class, 0.000413180445321, 12.0, 6.0
детский, @default_class, 0.000172158528585, 5.0, 2.0
четверка, @default_class, 6.88634099788e-05, 2.0, 1.0
тетя, @default_class, 6.88634099788e-05, 2.0, 1.0
professional, @default_class, 0.000241021931288, 7.0, 2.0
укреплять, @default_class, 0.000413180445321, 12.0, 6.0
apart, @default_class, 0.000137726819958, 4.0, 2.0
пластифицировать, @default_class, 0.000137726819958, 4.0, 1.0
сердце, @default_class, 0.00034431705717, 10.0, 5.0
значение, @default_class, 6.88634099788e-05, 2.0, 1.0
развитие, @default_class, 6.88634099788e-05, 2.0, 1.0
выдавать, @default_class, 6.88634099788e-05, 2.0, 1.0
каолин, @default_class, 6.88634099788e-05, 2.0, 1.0
снимать, @default_class, 0.000826360890642, 24.0, 12.0
работать, @default_class, 0.000516475585755, 15.0, 6.0
мост, @default_class, 0.00020659022266, 6.0, 3.0
все, @default_class, 0.000241021931288, 7.0, 3.0
насадка, @default_class, 0.00020659022266, 6.0, 3.0
watching, @default_class, 6.88634099788e-05, 2.0, 1.0
спидометр, @default_class, 6.88634099788e-05, 2.0, 1.0
случай, @default_class, 0.000137726819958, 4.0, 1.0
мужик, @default_class, 0.000137726819958, 4.0, 2.0
мы, @default_class, 0.0004476121685, 13.0, 6.0
but, @default_class, 0.000137726819958, 4.0, 2.0
мотористка, @default_class, 0.00055090727983, 16.0, 8.0
адрес, @default_class, 0.000413180445321, 12.0, 6.0
увеличивать, @default_class, 6.88634099788e-05, 2.0, 1.0
ко, @default_class, 0.000137726819958, 4.0, 2.0
предполагать, @default_class, 0.00020659022266, 6.0, 3.0
ще, @default_class, 0.00010329511133, 3.0, 1.0
нога, @default_class, 0.000516475585755, 15.0, 4.0
помнить, @default_class, 0.00034431705717, 10.0, 5.0
реальность, @default_class, 6.88634099788e-05, 2.0, 1.0
бронирование, @default_class, 0.000137726819958, 4.0, 2.0
любовь, @default_class, 0.00151499500498, 44.0, 17.0
достойный, @default_class, 6.88634099788e-05, 2.0, 1.0
принадлежать, @default_class, 6.88634099788e-05, 2.0, 1.0
уточнять, @default_class, 6.88634099788e-05, 2.0, 1.0
отдыхать, @default_class, 6.88634099788e-05, 2.0, 1.0
дедушка, @default_class, 0.000172158528585, 5.0, 2.0
носогубной, @default_class, 6.88634099788e-05, 2.0, 1.0
шлем, @default_class, 0.000137726819958, 4.0, 2.0
пилинг, @default_class, 0.000723065808415, 21.0, 9.0
